,hotel,is_canceled,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,previous_cancellations,previous_bookings_not_canceled,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
18795,City Hotel,1,35,July,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,130.0,0,1,Canceled
2564,Resort Hotel,1,103,June,2,1,2,0,0,0,0,G,2,No Deposit,0,Transient,209.0,0,1,Canceled
8274,Resort Hotel,0,48,April,1,4,2,0,0,0,0,A,0,No Deposit,0,Transient,94.0,1,1,Check-Out
3605,Resort Hotel,1,213,August,4,10,2,1,0,0,0,A,0,No Deposit,0,Transient,228.0,0,1,Canceled
2164,Resort Hotel,1,69,June,1,0,2,0,0,0,0,D,0,No Deposit,0,Transient,144.0,0,1,Canceled
8069,Resort Hotel,0,152,April,0,4,2,0,0,0,0,A,1,No Deposit,0,Transient-Party,48.0,0,0,Check-Out
2527,Resort Hotel,1,55,June,2,3,1,0,0,0,0,A,0,No Deposit,0,Transient,172.8,0,1,Canceled
19176,City Hotel,1,127,August,2,3,2,0,0,0,0,D,0,No Deposit,0,Transient,155.0,0,2,Canceled
6672,Resort Hotel,0,0,February,0,1,2,0,0,0,0,F,0,No Deposit,0,Transient,85.0,0,0,Check-Out
12808,Resort Hotel,0,125,August,2,4,2,0,0,0,0,A,0,No Deposit,0,Transient,276.0,1,2,Check-Out
18972,City Hotel,1,24,July,0,2,2,1,0,0,0,A,0,No Deposit,0,Transient,164.0,0,1,Canceled
6691,Resort Hotel,0,17,February,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,86.0,0,2,Check-Out
11259,Resort Hotel,0,181,June,5,14,1,0,0,0,0,A,4,No Deposit,0,Transient,117.45,0,0,Check-Out
16729,City Hotel,1,96,May,2,1,2,0,0,0,0,F,0,No Deposit,0,Transient,225.0,0,0,Canceled
9582,Resort Hotel,0,117,May,4,10,1,0,0,0,0,A,0,No Deposit,0,Contract,50.2,0,0,Check-Out
9574,Resort Hotel,0,3,May,0,1,2,0,1,0,0,H,1,No Deposit,0,Transient,0.0,1,3,Check-Out
3067,Resort Hotel,1,187,July,2,6,2,0,0,0,0,A,0,No Deposit,0,Transient,183.28,0,1,Canceled
3526,Resort Hotel,1,200,August,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,200.0,0,0,Canceled
15983,City Hotel,1,31,April,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,85.0,0,0,Canceled
1433,Resort Hotel,1,21,April,1,1,2,0,1,0,0,C,0,No Deposit,0,Transient,114.0,0,0,Canceled
14618,City Hotel,1,72,March,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,74.8,0,1,Canceled
11204,Resort Hotel,0,122,July,0,2,3,0,0,0,0,H,1,No Deposit,0,Transient,264.0,1,0,Check-Out
15879,City Hotel,1,316,April,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,109.8,0,0,Canceled
2995,Resort Hotel,1,157,July,2,3,2,2,0,0,0,C,1,No Deposit,0,Transient,169.2,0,0,Canceled
5902,Resort Hotel,0,54,February,0,2,2,0,0,0,0,E,2,No Deposit,0,Transient,65.0,0,1,Check-Out
16245,City Hotel,1,46,May,1,3,1,0,0,0,0,A,0,No Deposit,0,Transient,128.79,0,0,Canceled
2499,Resort Hotel,1,336,June,4,10,2,0,0,0,0,D,0,No Deposit,0,Transient,178.46,0,1,Canceled
5282,Resort Hotel,0,1,January,0,2,2,0,0,0,0,D,1,No Deposit,0,Transient,62.0,1,0,Check-Out
6939,Resort Hotel,0,0,March,0,2,1,0,0,0,0,D,2,No Deposit,0,Transient,60.0,0,0,Check-Out
19066,City Hotel,1,308,August,0,2,2,0,0,0,0,A,2,No Deposit,0,Transient,80.19,0,1,Canceled
19465,City Hotel,1,32,August,1,0,3,0,0,0,0,D,0,No Deposit,0,Transient,230.0,0,2,Canceled
5220,Resort Hotel,0,4,January,2,1,1,0,0,0,0,E,0,No Deposit,0,Transient,42.0,0,1,Check-Out
387,Resort Hotel,1,93,February,1,2,2,0,0,0,0,D,0,No Deposit,0,Transient,62.0,0,0,Canceled
5004,Resort Hotel,0,24,January,2,2,1,0,0,0,0,A,1,No Deposit,0,Transient,30.0,0,0,Check-Out
5397,Resort Hotel,0,31,January,0,3,2,0,0,0,0,E,1,No Deposit,0,Transient,75.0,1,0,Check-Out
265,Resort Hotel,1,18,February,2,7,2,0,0,0,0,C,0,No Deposit,0,Transient,111.0,0,1,No-Show
1687,Resort Hotel,1,231,May,0,4,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,81.0,0,0,Canceled
16650,City Hotel,1,407,May,2,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
1965,Resort Hotel,1,198,May,2,0,2,0,0,0,0,A,0,No Deposit,0,Transient,115.0,0,1,Canceled
635,Resort Hotel,1,312,March,2,5,1,0,0,0,0,E,1,No Deposit,0,Transient-Party,45.0,0,0,Canceled
5738,Resort Hotel,0,8,January,1,3,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,58.0,0,0,Check-Out
10993,Resort Hotel,0,226,June,2,8,2,0,0,0,0,E,1,No Deposit,0,Transient,128.0,0,0,Check-Out
18832,City Hotel,1,58,July,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,152.0,0,1,Canceled
12420,Resort Hotel,0,195,August,2,5,2,0,0,0,0,E,0,No Deposit,0,Contract,158.6,0,0,Check-Out
9210,Resort Hotel,0,0,May,1,0,2,0,0,0,0,I,0,No Deposit,0,Transient,122.0,1,1,Check-Out
3367,Resort Hotel,1,378,August,4,10,2,0,0,0,0,A,0,No Deposit,0,Transient,450.0,0,0,Canceled
16678,City Hotel,1,407,May,2,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
18047,City Hotel,1,150,June,2,3,1,0,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Canceled
6884,Resort Hotel,0,0,March,0,2,1,0,0,0,0,D,0,No Deposit,0,Transient,57.0,0,0,Check-Out
13078,Resort Hotel,0,151,August,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,171.5,0,0,Check-Out
12733,Resort Hotel,0,217,August,2,5,1,0,0,0,0,A,1,No Deposit,0,Transient,153.38,0,0,Check-Out
8290,Resort Hotel,0,351,April,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,82.0,0,0,Check-Out
4812,Resort Hotel,0,60,July,1,3,1,0,0,0,3,A,0,No Deposit,0,Transient,135.0,0,0,Check-Out
5967,Resort Hotel,0,1,February,1,0,2,0,0,0,0,F,0,No Deposit,0,Transient-Party,92.0,1,0,Check-Out
7603,Resort Hotel,0,31,March,0,3,2,2,0,0,0,G,2,No Deposit,0,Transient,105.0,0,0,Check-Out
14945,City Hotel,1,54,April,0,2,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
20216,City Hotel,0,54,August,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out
958,Resort Hotel,1,47,March,0,3,2,0,0,0,0,D,0,No Deposit,0,Transient,70.33,0,1,Canceled
17287,City Hotel,1,17,June,1,0,1,0,0,0,0,A,0,No Deposit,0,Transient,120.0,0,0,Canceled
3582,Resort Hotel,1,305,August,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient,167.18,0,2,Canceled
8288,Resort Hotel,0,351,April,2,5,1,0,0,0,0,D,0,No Deposit,0,Transient-Party,68.0,0,0,Check-Out
3340,Resort Hotel,1,122,August,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,209.0,0,0,Canceled
17021,City Hotel,1,128,May,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,126.0,0,1,Canceled
18264,City Hotel,1,240,July,3,8,2,1,0,0,0,A,0,No Deposit,0,Transient,167.85,0,1,Canceled
2536,Resort Hotel,1,326,June,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,74.25,0,1,Canceled
18195,City Hotel,1,332,July,2,2,2,0,0,0,0,D,0,No Deposit,0,Transient,113.4,0,2,Canceled
8971,Resort Hotel,0,59,May,1,4,2,0,0,0,0,E,1,No Deposit,0,Transient,115.0,0,0,Check-Out
4245,Resort Hotel,0,133,July,3,5,2,0,0,0,0,D,0,No Deposit,0,Transient,151.88,1,0,Check-Out
13521,City Hotel,1,205,January,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,90.0,0,1,Canceled
15025,City Hotel,1,62,April,0,3,1,0,0,0,0,A,0,Non Refund,0,Transient,135.0,0,0,Canceled
398,Resort Hotel,1,27,February,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,48.0,0,2,Canceled
15953,City Hotel,1,251,April,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,109.8,0,2,Canceled
2749,Resort Hotel,1,144,July,1,3,2,0,0,0,0,A,0,No Deposit,0,Transient,78.0,0,0,Canceled
10290,Resort Hotel,0,320,June,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,74.25,0,1,Check-Out
13494,City Hotel,1,20,January,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,79.5,0,1,Canceled
3882,Resort Hotel,1,198,August,1,2,1,0,0,0,0,A,0,No Deposit,0,Transient,151.0,0,1,Canceled
15443,City Hotel,1,16,April,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,138.33,0,0,Canceled
17493,City Hotel,1,169,June,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,170.0,0,0,Canceled
17262,City Hotel,1,173,June,2,2,2,0,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Canceled
15877,City Hotel,1,105,April,2,3,2,0,0,0,0,D,0,No Deposit,0,Transient,139.5,0,0,Canceled
13829,City Hotel,1,157,February,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,79.2,0,2,Canceled
19253,City Hotel,1,170,August,0,4,3,0,0,0,0,A,0,No Deposit,0,Transient,130.5,0,0,Canceled
163,Resort Hotel,1,16,January,1,2,1,0,0,0,0,A,5,No Deposit,0,Transient-Party,35.0,0,0,Canceled
8995,Resort Hotel,0,134,May,0,1,2,0,0,0,0,D,2,No Deposit,0,Transient-Party,62.0,0,1,Check-Out
17522,City Hotel,1,169,June,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,170.0,0,0,Canceled
11057,Resort Hotel,0,212,July,1,5,2,0,0,0,0,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out
1366,Resort Hotel,1,239,April,2,5,3,0,0,0,0,C,0,No Deposit,0,Transient-Party,158.0,0,0,Canceled
2417,Resort Hotel,1,215,June,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,140.0,0,2,Canceled
700,Resort Hotel,1,86,March,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,46.0,0,0,Canceled
3802,Resort Hotel,1,143,August,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,174.04,0,1,Canceled
4484,Resort Hotel,0,8,June,0,2,1,0,0,0,15,A,0,No Deposit,0,Transient,77.0,1,0,Check-Out
9864,Resort Hotel,0,175,May,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient,100.0,0,3,Check-Out
12949,Resort Hotel,0,202,August,3,6,2,2,0,0,0,C,1,No Deposit,0,Transient,196.5,1,0,Check-Out
12031,Resort Hotel,0,62,August,0,1,2,0,0,0,0,E,0,No Deposit,0,Transient,230.0,0,2,Check-Out
6303,Resort Hotel,0,207,February,1,3,1,0,0,0,0,D,2,No Deposit,113,Transient-Party,56.0,0,0,Check-Out
17967,City Hotel,1,51,June,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,140.0,0,1,Canceled
2087,Resort Hotel,1,65,June,0,2,3,1,0,0,0,H,0,No Deposit,0,Transient,262.5,0,0,Canceled
13297,City Hotel,1,128,January,2,6,2,0,0,0,0,A,0,No Deposit,0,Transient,74.8,0,1,Canceled
14099,City Hotel,1,60,February,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,95.4,0,0,Canceled
15393,City Hotel,1,153,April,0,3,2,1,0,0,0,A,0,No Deposit,0,Transient,141.0,0,1,Canceled
11685,Resort Hotel,0,268,July,2,5,2,1,0,0,0,A,1,No Deposit,0,Transient-Party,192.68,0,3,Check-Out
6918,Resort Hotel,0,7,March,0,3,2,0,0,0,0,A,1,No Deposit,0,Transient-Party,37.0,0,0,Check-Out
7945,Resort Hotel,0,47,April,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,70.0,0,1,Check-Out
13818,City Hotel,1,172,February,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,81.0,0,2,Canceled
15203,City Hotel,1,147,April,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,117.0,0,1,Canceled
2062,Resort Hotel,1,255,June,0,3,2,0,0,0,0,A,0,No Deposit,0,Transient,80.1,0,2,Canceled
7812,Resort Hotel,0,26,March,0,2,1,0,0,0,0,A,0,No Deposit,0,Transient,70.0,1,1,Check-Out
371,Resort Hotel,1,34,February,2,5,2,0,0,0,0,C,1,No Deposit,0,Transient,39.6,0,0,Canceled
13008,Resort Hotel,0,66,August,2,5,3,0,0,0,0,A,0,No Deposit,0,Transient,276.46,0,0,Check-Out
3801,Resort Hotel,1,277,August,2,5,2,0,0,0,0,A,0,No Deposit,0,Transient,165.37,0,1,Canceled
17929,City Hotel,1,164,June,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,134.36,0,0,Canceled
12886,Resort Hotel,0,136,August,2,5,2,0,0,0,0,E,0,No Deposit,0,Contract,116.5,0,0,Check-Out
18603,City Hotel,1,156,July,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,143.1,0,0,Canceled
16772,City Hotel,1,88,May,1,1,1,0,0,0,0,A,0,Non Refund,0,Transient,120.0,0,0,Canceled
17839,City Hotel,1,50,June,0,4,1,0,0,0,0,A,0,No Deposit,0,Transient,130.0,0,1,Canceled
8847,Resort Hotel,0,105,April,0,3,2,0,0,0,0,E,0,No Deposit,0,Transient,108.33,0,1,Check-Out
5403,Resort Hotel,0,27,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient-Party,62.4,0,1,Check-Out
12009,Resort Hotel,0,24,July,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,164.0,0,2,Check-Out
6869,Resort Hotel,0,0,February,0,2,2,0,0,0,0,E,0,No Deposit,0,Transient,68.0,0,1,Check-Out
4547,Resort Hotel,0,0,January,0,1,1,0,0,0,1,A,0,No Deposit,0,Transient,57.0,0,0,Check-Out
19510,City Hotel,1,35,August,0,1,1,0,0,0,0,A,1,No Deposit,0,Transient,140.0,0,1,Canceled
9024,Resort Hotel,0,202,May,0,1,2,0,0,0,0,D,0,No Deposit,0,Transient-Party,62.0,0,1,Check-Out
5673,Resort Hotel,0,17,January,0,1,2,0,0,0,0,C,0,Non Refund,0,Transient-Party,36.0,0,0,Check-Out
18512,City Hotel,1,226,July,2,1,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
16293,City Hotel,1,20,May,0,1,2,0,0,0,0,A,0,No Deposit,0,Transient,169.0,0,1,Canceled
1961,Resort Hotel,1,353,May,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,73.41,0,1,Canceled
1278,Resort Hotel,1,179,April,2,4,2,0,0,0,0,D,1,No Deposit,0,Transient,96.3,0,2,Canceled
17783,City Hotel,1,139,June,1,1,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
19054,City Hotel,1,307,August,2,5,2,0,0,0,0,D,0,No Deposit,0,Transient,154.8,0,2,Canceled
4962,Resort Hotel,0,15,January,0,2,2,0,0,0,0,A,1,No Deposit,0,Transient-Party,66.4,0,1,Check-Out
17085,City Hotel,1,174,June,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
16759,City Hotel,1,12,May,4,6,2,0,0,0,0,D,0,No Deposit,0,Transient,144.8,0,1,Canceled
12589,Resort Hotel,0,57,August,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient-Party,270.0,0,4,Check-Out
3447,Resort Hotel,1,3,August,2,1,2,0,0,0,0,D,0,No Deposit,0,Transient,230.0,0,1,Canceled
20241,City Hotel,0,20,August,0,2,3,0,0,0,0,D,3,No Deposit,0,Transient-Party,230.0,0,2,Check-Out
19412,City Hotel,1,153,August,2,2,2,0,0,0,0,A,0,No Deposit,0,Transient,130.5,0,0,Canceled
13167,Resort Hotel,0,239,August,2,9,2,0,0,0,0,E,0,No Deposit,0,Transient,184.73,0,2,Check-Out
6461,Resort Hotel,0,73,February,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,40.0,0,0,Check-Out
17170,City Hotel,1,212,June,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient-Party,105.0,0,0,Canceled
10140,Resort Hotel,0,23,June,0,2,3,0,0,0,0,F,0,No Deposit,0,Transient,198.4,1,0,Check-Out
4243,Resort Hotel,0,19,July,1,4,2,1,0,0,2,D,3,No Deposit,0,Transient,245.5,0,3,Check-Out
14942,City Hotel,1,16,April,0,2,2,0,0,0,0,E,0,No Deposit,0,Transient,174.0,0,0,Canceled
16689,City Hotel,1,407,May,2,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
11692,Resort Hotel,0,117,July,0,4,2,0,0,0,0,E,0,No Deposit,0,Transient,187.0,0,1,Check-Out
2735,Resort Hotel,1,259,July,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,151.33,0,0,Canceled
2698,Resort Hotel,1,305,July,2,4,2,1,0,0,0,A,0,No Deposit,0,Transient,93.38,0,1,Canceled
13448,City Hotel,1,62,January,1,2,2,0,0,0,0,A,0,No Deposit,0,Transient,60.98,0,1,Canceled
19242,City Hotel,1,478,August,0,1,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
14162,City Hotel,1,248,February,0,5,1,0,0,0,0,A,0,No Deposit,0,Transient,80.75,0,0,Canceled
4187,Resort Hotel,0,0,January,1,0,1,0,0,2,2,A,0,No Deposit,0,Transient,40.0,0,1,Check-Out
6971,Resort Hotel,0,7,March,1,3,1,0,0,0,0,F,1,No Deposit,0,Transient-Party,47.0,0,0,Check-Out
1640,Resort Hotel,1,227,May,2,5,2,0,0,0,0,E,0,No Deposit,0,Transient,81.0,0,0,Canceled
10796,Resort Hotel,0,7,June,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,128.25,0,0,Check-Out
4993,Resort Hotel,0,1,January,1,1,2,0,0,0,0,E,0,No Deposit,0,Transient,105.0,1,2,Check-Out
16225,City Hotel,1,231,May,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,110.0,0,1,Canceled
2729,Resort Hotel,1,143,July,2,3,2,0,0,0,0,D,0,No Deposit,0,Transient,135.0,0,1,Canceled
9953,Resort Hotel,0,17,May,1,0,2,0,0,0,0,D,1,No Deposit,0,Transient,62.0,1,0,Check-Out
16631,City Hotel,1,163,May,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,99.0,0,1,Canceled
298,Resort Hotel,1,238,February,0,2,2,0,0,0,0,A,0,Non Refund,0,Transient,54.0,0,0,Canceled
9140,Resort Hotel,0,5,May,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,112.0,0,2,Check-Out
7365,Resort Hotel,0,120,March,0,3,1,0,0,0,0,A,6,No Deposit,8,Transient-Party,45.0,0,0,Check-Out
3840,Resort Hotel,1,26,August,0,4,2,0,0,0,0,D,0,No Deposit,0,Transient,319.0,0,2,Canceled
3663,Resort Hotel,1,270,August,0,4,2,2,0,0,0,G,0,No Deposit,0,Transient,244.0,0,0,Canceled
16104,City Hotel,1,135,April,2,0,2,0,0,0,0,A,0,Non Refund,0,Transient,90.0,0,0,Canceled
14433,City Hotel,1,106,March,1,1,2,0,0,0,0,A,0,No Deposit,0,Transient,97.2,0,1,Canceled
6258,Resort Hotel,0,6,February,2,5,1,0,0,0,0,A,3,No Deposit,0,Transient,47.0,0,0,Check-Out
9044,Resort Hotel,0,87,April,2,3,2,0,0,0,0,A,0,No Deposit,0,Transient,50.0,0,0,Check-Out
10927,Resort Hotel,0,105,June,2,4,2,0,0,0,0,G,0,No Deposit,0,Transient,166.0,1,1,Check-Out
9305,Resort Hotel,0,84,May,2,5,2,0,0,0,0,D,0,No Deposit,0,Contract,52.85,0,0,Check-Out
11526,Resort Hotel,0,41,July,1,4,2,0,0,0,0,A,0,No Deposit,0,Transient,206.0,0,0,Check-Out
4743,Resort Hotel,0,11,June,0,4,2,0,0,0,3,E,0,No Deposit,0,Transient,216.0,1,2,Check-Out
7804,Resort Hotel,0,64,March,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,80.0,0,1,Check-Out
19247,City Hotel,1,86,August,0,2,2,0,0,0,0,A,0,No Deposit,0,Transient,145.0,0,2,Canceled
4485,Resort Hotel,0,0,February,0,1,1,0,0,0,2,D,0,No Deposit,0,Transient,43.0,0,1,Check-Out
10888,Resort Hotel,0,93,June,2,3,1,1,0,0,0,A,0,No Deposit,0,Transient,126.15,0,1,Check-Out
549,Resort Hotel,1,184,February,2,1,2,0,0,0,0,E,0,No Deposit,0,Transient,82.8,0,1,Canceled
859,Resort Hotel,1,16,March,0,2,2,1,0,0,0,H,0,No Deposit,0,Transient,120.0,0,1,Canceled
17082,City Hotel,1,174,June,0,3,2,0,0,0,0,A,0,Non Refund,0,Transient,110.0,0,0,Canceled
1069,Resort Hotel,1,32,April,2,4,2,0,0,0,0,E,0,No Deposit,0,Transient,110.0,0,0,Canceled
4390,Resort Hotel,0,26,April,1,3,1,0,0,0,1,E,3,No Deposit,0,Group,50.0,0,0,Check-Out
